Sofia,,Bulgaria,42.7,23.33
Mandalay,,Myanmar,21.97,96.08
Nay Pyi Taw,,Myanmar,19.75,96.1
Yangon,Rangoon,Myanmar,16.87,96.12
Minsk,,Belarus,53.89,27.57
Phnum P?nh,Phnom Penh,Cambodia,11.56,104.91
El Djaza?r,Algiers,Algeria,36.78,3.05
Wahran,Oran,Algeria,35.74,-0.52
Douala,,Cameroon,4.13,9.7
Yaound?,Yaounde,Cameroon,3.86,11.51
Calgary,,Canada,51.03,-114.04
Edmonton,,Canada,53.55,-113.5
Montr?al,Montreal,Canada,45.54,-73.65
Ottawa-Gatineau,Ottawa,Canada,45.37,-75.65
Toronto,,Canada,43.72,-79.41
Vancouver,,Canada,49.27,-122.96
N'Djam?na,Ndjamena,Chad,12.1,15.24
Santiago,,Chile,-33.43,-70.65
Valpara?so,Valparaiso,Chile,-33.02,-71.55
"Anshan, Liaoning",Anshan,China,41.11,122.97
Anshun,,China,26.25,105.93
Anyang,,China,36.1,114.33
Baoding,,China,38.85,115.48
Baotou,,China,40.65,109.8
Beijing,,China,39.9,116.38
Bengbu,,China,32.93,117.35
Benxi,,China,41.3,123.77
Changchun,,China,43.88,125.31
Changde,,China,29.03,111.68
"Changsha, Hunan",Changsha,China,28.09,113
"Changzhou, Jiangsu",,China,31.78,119.97
Chengdu,,China,30.67,104.07
Chifeng,,China,42.27,118.95
Chongqing,,China,29.54,106.52
Dalian,,China,39.03,121.59
Dandong,,China,40.11,124.38
Daqing,,China,46.58,125
"Datong, Shanxi",,China,40.06,113.28
"Dongguan, Guangdong",,China,23.03,113.71
Foshan,,China,23.03,113.71
"Fushun, Liaoning",Fushun,China,41.85,123.9
Fuxin,,China,42.01,121.65
Fuyang,,China,30.05,119.94
"Fuzhou, Fujian",Fuzhou,China,26.07,119.3
"Guangzhou, Guangdong",Guangzhou,China,23.09,113.29
Guilin,,China,25.27,110.29
Guiyang,,China,26.57,106.7
Haerbin,Harbin,China,45.75,126.62
Handan,,China,36.6,114.48
Hangzhou,,China,30.25,120.16
Hefei,,China,31.86,117.27
Hengyang,,China,26.9,112.6
Heze,,China,35.23,115.43
Hohhot,Huhot,China,40.81,111.64
Huai'an,,China,33.5,119.13
Huaibei,,China,34.15,116.65
Huainan,,China,32.61,116.98
Huzhou,,China,30.86,120.1
Jiamusi,,China,46.83,130.35
Jiaozuo,,China,35.24,113.22
Jiaxing,,China,30.76,120.75
Jilin,,China,43.85,126.56
"Jinan, Shandong",Jinan,China,36.65,116.96
"Jining, Shandong",,China,35.4,116.56
"Jinxi, Liaoning",,China,41.11,122.05
Jinzhou,,China,41.1,121.13
"Jixi, Heilongjiang",,China,45.3,130.96
Kaifeng,,China,34.79,114.34
Kaohsiung,Kaoshsiung,China,22.6,120.28
Kunming,,China,25.05,102.7
Langfang,,China,39.51,116.7
Lanzhou,,China,36.11,103.59
Leshan,,China,29.58,103.75
Lianyungang,,China,41.26,119.16
Liaoyang,,China,41.26,123.17
Linfen,,China,36.08,111.51
"Linyi, Shandong",,China,35.05,118.31
Liuan,,China,31.73,116.46
Liupanshui,,China,26.59,104.83
Liuzhou,,China,24.31,109.38
Luoyang,,China,34.67,112.36
Luzhou,,China,28.88,105.43
"Mianyang, Sichuan",,China,31.46,104.75
Mudanjiang,,China,44.58,129.59
Nanchang,,China,28.67,115.88
Nanchong,,China,28.68,115.88
"Nanjing, Jiangsu",Nanjing,China,32.04,118.76
Nanning,,China,22.83,108.29
Nantong,,China,32,120.83
"Nanyang, Henan",,China,33,112.53
Neijiang,,China,29.58,105.06
Ningbo,,China,29.86,121.55
"Pingdingshan, Henan",,China,33.73,113.3
"Pingxiang, Jiangxi",,China,27.63,113.85
Qingdao,,China,36.14,120.43
Qinhuangdao,,China,39.93,119.6
Qiqihaer,Qiqihar,China,47.34,123.96
Quanzhou,,China,24.91,118.58
Shanghai,,China,31.24,121.47
Shangqiu,,China,34.41,115.63
Shantou,,China,23.36,116.7
Shaoxing,,China,30,120.58
Shenyang,,China,41.8,123.38
Shenzhen,,China,22.55,114.1
Shijiazhuang,,China,38.07,114.55
"Suining, Sichuan",,China,30.51,105.56
"Suzhou, Anhui",,China,33.61,117
"Suzhou, Jiangsu",,China,31.3,120.6
"Taian, Shandong",,China,36.16,117.11
Taichung,T'aichung,China,24.14,120.67
Tainan,T'ainan,China,23.01,120.2
Taipei,,China,25.03,121.5
